[3.083340,3.141593]
[1.493058,0.400207]
[0.348955,-1.293445]
[0.571240,0.324271]
[2.462430,-2.653643]
[1.306068,1.437600]
[0.808011,-0.044288]
[1.232508,-0.869275]
[1.857412,-2.839440]
[1.961406,1.943497]
[1.172809,-0.912676]
[0.368980,2.321136]
[0.203720,1.990186]
[1.463740,2.438692]
[1.305282,-0.028910]
[0.180939,0.350575]
[1.576744,-2.392513]
[0.579043,1.670528]
[1.260913,-2.057112]
[1.108639,3.073096]
[0.174645,1.748717]
[0.734012,0.386213]
[1.050619,-2.329801]
[0.361780,0.481004]
[0.973655,-2.179678]
[1.273303,2.579743]
[0.763832,-1.099944]
[0.831104,1.745890]
[0.629108,1.109468]
[1.150700,-2.123616]
[1.020496,2.111195]
[1.042372,0.167365]
[1.809277,-2.799929]
[1.129600,-3.120282]
[1.309545,1.451449]
[0.764957,-0.461227]
[0.889822,2.458515]
[1.259175,-0.802996]
[1.176452,-2.039863]
[0.602014,-0.033483]
[1.577502,-2.362703]
[0.184156,2.944719]
[0.321029,1.713505]
[0.401933,1.761784]
[0.782986,-0.073597]
[1.347519,-2.536024]
[1.341716,1.576180]
[0.607283,-0.374305]
[1.981106,2.029605]
[0.707793,-1.351637]
[0.905829,2.386620]
[0.728811,-0.906357]
[0.933560,2.402962]
[0.837214,-0.581064]
[1.023848,1.730372]
[0.237780,2.552634]
[1.201194,-1.889271]
[0.511888,-1.732864]
[1.276479,0.948381]
[1.696200,-1.863445]
[1.460061,1.819745]
[1.082019,-1.291077]
[0.659511,-2.680948]
[0.956548,1.091148]
[0.601114,-2.063253]
[1.133426,-2.820003]
[1.127108,0.620354]
[0.529802,-2.668550]
[0.980444,-1.475007]
[1.364415,2.746615]
[1.531933,1.174001]
[1.045529,-0.543504]
[0.568105,-2.530503]
[0.389427,-1.650489]
[1.290950,1.786191]
[0.489982,0.330699]
[1.265028,-0.381983]
[1.193591,-1.829344]
[1.550179,2.025720]
[0.595387,0.576740]
[0.413274,-2.040569]
[1.171522,1.033047]
[0.560334,-1.279225]
[0.653503,2.878326]
[0.751665,-3.064686]
[0.459811,0.818000]
[0.461169,-1.100178]
[1.516259,-2.847519]
[1.101109,1.540102]
[0.786620,-0.311985]
[1.380694,-1.629110]
[0.784447,-2.778246]
[0.436070,1.757044]
[0.842004,1.198541]
[0.396153,-1.067244]
[0.195126,2.644642]
[0.618296,-2.066979]
[1.388626,1.147243]
[1.481469,-1.540289]
[1.042553,2.293870]
[0.661536,-1.011527]
[1.950388,-2.884618]
[1.056257,2.838197]
[0.378605,3.019069]
[0.409571,-1.532294]
[0.565368,-1.668213]
[0.891230,-0.683366]
[0.298400,1.479792]
[1.361800,2.478723]
[0.049636,2.083463]
[1.360859,2.698465]
[1.834093,0.097041]
[0.282678,0.328360]
[0.474125,1.426151]
[0.970857,2.899928]
[1.159877,1.056891]
[0.523904,-1.512639]
[0.416168,2.156846]
[1.037123,-1.761730]
[0.308281,1.293824]
[1.833914,0.956002]
[1.001342,-1.857375]
[1.411773,-1.248465]
[1.061423,-0.116589]
[1.331689,0.978162]
[0.596484,-2.937080]
[1.303253,-1.010048]
[0.754609,-0.159081]
[1.273851,0.000000]
[0.754609,0.159081]
[1.303253,1.010048]
[0.596484,2.937080]
[1.331689,-0.978162]
[1.061423,0.116589]
[1.411773,1.248465]
[1.001342,1.857375]
[1.833914,-0.956002]
[0.308281,-1.293824]
[1.037123,1.761730]
[0.416168,-2.156846]
[0.523904,1.512639]
[1.159877,-1.056891]
[0.970857,-2.899928]
[0.474125,-1.426151]
[0.282678,-0.328360]
[1.834093,-0.097041]
[1.360859,-2.698465]
[0.049636,-2.083463]
[1.361800,-2.478723]
[0.298400,-1.479792]
[0.891230,0.683366]
[0.565368,1.668213]
[0.409571,1.532294]
[0.378605,-3.019069]
[1.056257,-2.838197]
[1.950388,2.884618]
[0.661536,1.011527]
[1.042553,-2.293870]
[1.481469,1.540289]
[1.388626,-1.147243]
[0.618296,2.066979]
[0.195126,-2.644642]
[0.396153,1.067244]
[0.842004,-1.198541]
[0.436070,-1.757044]
[0.784447,2.778246]
[1.380694,1.629110]
[0.786620,0.311985]
[1.101109,-1.540102]
[1.516259,2.847519]
[0.461169,1.100178]
[0.459811,-0.818000]
[0.751665,3.064686]
[0.653503,-2.878326]
[0.560334,1.279225]
[1.171522,-1.033047]
[0.413274,2.040569]
[0.595387,-0.576740]
[1.550179,-2.025720]
[1.193591,1.829344]
[1.265028,0.381983]
[0.489982,-0.330699]
[1.290950,-1.786191]
[0.389427,1.650489]
[0.568105,2.530503]
[1.045529,0.543504]
[1.531933,-1.174001]
[1.364415,-2.746615]
[0.980444,1.475007]
[0.529802,2.668550]
[1.127108,-0.620354]
[1.133426,2.820003]
[0.601114,2.063253]
[0.956548,-1.091148]
[0.659511,2.680948]
[1.082019,1.291077]
[1.460061,-1.819745]
[1.696200,1.863445]
[1.276479,-0.948381]
[0.511888,1.732864]
